Wall time,Step,Value
1634292728.123652,1024000,42.36284637451172
1634299005.590396,2048000,38.670536041259766
1634304938.7909634,3072000,38.214805603027344
1634310857.0161438,4096000,37.69666290283203
1634316752.027644,5120000,36.622642517089844
1634322634.8247647,6144000,36.16836166381836
1634328490.4318044,7168000,32.867923736572266
1634334244.0142581,8192000,28.271408081054688
1634340800.686284,9216000,14.70391845703125
1634346828.7002137,10240000,9.950653076171875
1634352915.078702,11264000,31.447025299072266
1634358934.3075807,12288000,30.251089096069336
1634365063.54696,13312000,27.30188751220703
1634371224.7930555,14336000,26.865022659301758
1634377594.013973,15360000,27.640058517456055
1634383770.7106907,16384000,24.519594192504883
1634389935.284157,17408000,25.40493392944336
1634396312.1004987,18432000,21.81712532043457
1634402657.3123984,19456000,24.087081909179688
1634408863.0168273,20480000,22.29317855834961
1634421140.7737875,21504000,16.29463005065918
1634431479.7627463,22528000,17.4862117767334
1634441543.004897,23552000,16.972423553466797
1634452582.2979517,24576000,7.27576208114624
1634463539.5958493,25600000,9.503628730773926
1634474823.3567927,26624000,7.500725746154785
1634487559.8270986,27648000,5.8214802742004395
1634498996.37353,28672000,4.390420913696289
1634510542.3486145,29696000,3.714078426361084
1634524286.5081503,30720000,2.5239477157592773
