Wall time,Step,Value
1634370137.3753304,2048000,40.10159683227539
1634382543.526571,4096000,37.57329559326172
1634394910.3778224,6144000,36.30914306640625
1634407106.9753995,8192000,28.416545867919922
1634420130.208332,10240000,13.838896751403809
1634432401.9696777,12288000,7.835994243621826
1634444542.34919,14336000,6.531204700469971
1634456383.5668068,16384000,6.364295959472656
1634468665.0077066,18432000,5.653120517730713
1634480440.4354455,20480000,7.297532558441162
1634492491.1802223,22528000,24.476051330566406
1634504719.4110577,24576000,21.480405807495117
1634516996.4446104,26624000,22.072568893432617
1634529027.378489,28672000,21.448476791381836
1634541002.1404388,30720000,18.19158172607422
1634553050.9338157,32768000,17.21625518798828
1634565181.9232671,34816000,16.676342010498047
1634577209.9240665,36864000,17.19883918762207
1634589718.6876953,38912000,12.558780670166016
1634602615.4898374,40960000,11.770682334899902
1634619617.826792,43008000,9.831640243530273
1634637131.9468997,45056000,5.7387518882751465
1634653657.5940907,47104000,5.049346923828125
1634670652.4392188,49152000,4.791001319885254
1634687080.3399854,51200000,2.2002902030944824
1634703977.9511223,53248000,2.362844705581665
1634721757.7072785,55296000,1.7547169923782349
1634739194.608441,57344000,2.8447024822235107
1634757591.7354107,59392000,1.3497823476791382
1634776281.6266024,61440000,1.3773584365844727
