agent,l1,stop,perfect,spl,l1,stop,perfect,spl,l1,stop,perfect,spl,agent,env
orb,17.77777777777778,0.8018018018018018,0.1891891891891892,0.17070504350463955,30.693693693693692,0.6876876876876877,0.15915915915915915,0.10558313006741972,53.2972972972973,0.6906906906906907,0.10510510510510511,0.08489699687649946,0.0041563725455840235,0.014941860847855955
sift,6.312312312312312,0.9159159159159159,0.9009009009009009,0.8809780139897333,12.48048048048048,0.8348348348348348,0.8288288288288288,0.6272058968257347,31.03003003003003,0.7867867867867868,0.7837837837837838,0.620614998280324,0.023689822488364088,0.021771780836576965
sun360,5.588588588588588,0.990990990990991,0.8318318318318318,0.703386240745994,13.483483483483484,0.972972972972973,0.7777777777777778,0.5740914466535687,18.225225225225227,0.963963963963964,0.7837837837837838,0.5245540941968083,0.007247285072877189,0.011482863385860355
finetuned,4.516516516516517,0.993993993993994,0.8348348348348348,0.7338043975554145,12.093093093093094,0.987987987987988,0.8378378378378378,0.634163414747183,22.513513513513512,0.972972972972973,0.7807807807807807,0.5243501190100734,0.0030134619933790924,0.00930278425844004
