agent,l1,stop,perfect,spl,l1,stop,perfect,spl,l1,stop,perfect,spl,agent,env
orb,4.744744744744745,0.978978978978979,0.7567567567567568,0.7341227758749781,12.564564564564565,0.9429429429429429,0.6996996996996997,0.521800482387856,25.426426426426428,0.948948948948949,0.36936936936936937,0.30657548997846595,0.006231292586032938,0.01892956087621184
sift,4.651651651651652,0.972972972972973,0.9309309309309309,0.9039075901092121,10.957957957957959,0.9309309309309309,0.8798798798798799,0.643236611366521,17.225225225225227,0.9099099099099099,0.8708708708708709,0.7041483928111246,0.03275428586304844,0.03075648898188561
sun360,0.9429429429429429,0.996996996996997,0.918918918918919,0.8026657435947782,3.6636636636636637,0.993993993993994,0.8948948948948949,0.7455356688032407,4.5825825825825826,0.987987987987988,0.8858858858858859,0.6864630961358802,0.0042033774726332115,0.011293609679514996
finetuned,0.8618618618618619,1.0,0.978978978978979,0.9042849853233449,1.7957957957957957,0.996996996996997,0.9669669669669669,0.8424387548802027,3.4204204204204203,0.993993993993994,0.9579579579579579,0.7634271074519333,0.0015128952562004298,0.01174284446858573
