agent,l1,stop,perfect,spl,l1,stop,perfect,spl,l1,stop,perfect,spl,agent,env
orb,1.5826086956521739,0.9884057971014493,0.9072463768115943,0.8894024244434563,12.631884057971014,0.9594202898550724,0.663768115942029,0.481525684840019,21.347826086956523,0.927536231884058,0.7623188405797101,0.6361446804493943,0.008723703041627298,0.020449497336695193
sift,0.3333333333333333,0.9971014492753624,0.9971014492753624,0.9971014492753624,3.2695652173913046,0.991304347826087,0.9710144927536232,0.8770044733595005,8.231884057971014,0.936231884057971,0.9304347826086956,0.7685064881692381,0.03838646126761731,0.021166344189629094
indoor,1.2492753623188406,1.0,0.8666666666666667,0.7495042753357635,4.005797101449275,0.991304347826087,0.863768115942029,0.6930857191683869,6.130434782608695,0.991304347826087,0.8695652173913043,0.670535720820026,0.004278162570071054,0.011372731170905653
half,1.055072463768116,0.9971014492753624,0.9594202898550724,0.8713530716042239,1.2608695652173914,0.9971014492753624,0.9536231884057971,0.8142689533988093,5.48695652173913,0.9884057971014493,0.9246376811594202,0.7528995442960933,0.002263183081472733,0.012696713726135943
full,0.7855072463768116,0.9971014492753624,0.9623188405797102,0.8892850465418012,1.527536231884058,0.9971014492753624,0.9420289855072463,0.8152344110895136,3.289855072463768,1.0,0.9449275362318841,0.788343600863803,0.002373718815748069,0.006044188731924151
