agent,l1,stop,perfect,spl,l1,stop,perfect,spl,l1,stop,perfect,spl,agent,env
orb,16.346153846153847,0.8532763532763533,0.28347578347578345,0.2663443193386527,37.27920227920228,0.7207977207977208,0.2150997150997151,0.15811369604809528,51.28917378917379,0.7193732193732194,0.0754985754985755,0.06224884758605853,0.004891198478258586,0.01063533489114666
sift,3.4245014245014245,0.9515669515669516,0.9515669515669516,0.9182776336656545,9.212250712250713,0.8945868945868946,0.8931623931623932,0.7521561383226145,23.91025641025641,0.8575498575498576,0.8518518518518519,0.6676974085738534,0.028225074251149035,0.015309659315793969
full,2.4544159544159543,0.9985754985754985,0.9287749287749287,0.7738579740052264,6.1581196581196584,0.9928774928774928,0.9074074074074074,0.6494332912073563,14.205128205128204,0.9957264957264957,0.8518518518518519,0.5692506887044759,0.001754092700416787,0.010126433551546344
