agent,motion_blur,defocus_blur,glass_blur,gaussian_blur,gaussian_noise,impulse_noise,shot_noise,speckle_noise,brightness,contrast,saturate,jpeg_compression,snow,spatter,fog,frost
fm_orb_20,31.483333333333334,45.68333333333333,25.483333333333334,45.85,29.233333333333334,27.466666666666665,18.616666666666667,23.666666666666668,17.883333333333333,68.31666666666666,20.566666666666666,16.65,56.96666666666667,38.766666666666666,97.9,84.03333333333333
fm_sift_50,88.53333333333333,85.25,91.11666666666666,79.75,87.28333333333333,79.66666666666667,82.46666666666667,80.21666666666667,37.36666666666667,88.98333333333333,27.85,37.85,94.68333333333334,104.23333333333333,103.41666666666667,110.71666666666667
ppo_inverse2_half,7.5,5.266666666666667,4.616666666666666,2.966666666666667,9.183333333333334,11.95,4.216666666666667,7.5,105.03333333333333,99.93333333333334,100.9,4.85,103.51666666666667,15.45,105.06666666666666,107.0
ppo_inverse2_full,6.866666666666666,3.0,4.766666666666667,3.05,25.433333333333334,28.566666666666666,10.583333333333334,5.516666666666667,80.86666666666666,114.85,95.2,0.016666666666666666,108.31666666666666,8.383333333333333,112.48333333333333,106.6
ppo_inverse2_finetuned,3.35,4.133333333333334,3.8,3.45,6.166666666666667,5.45,4.983333333333333,3.7333333333333334,37.833333333333336,98.91666666666667,34.13333333333333,4.433333333333334,52.03333333333333,6.1,93.98333333333333,53.81666666666667
