agent,l1,stop,perfect,spl,l1,stop,perfect,spl,l1,stop,perfect,spl,agent,env
orb,3.4051724137931036,0.9870689655172413,0.8979885057471264,0.8750356893934,12.817528735632184,0.9612068965517241,0.8362068965517241,0.6886432345859632,18.791666666666668,0.9770114942528736,0.34339080459770116,0.28581865530561484,0.00847751297983619,0.016601873098987155
sift,3.9267241379310347,0.9640804597701149,0.9525862068965517,0.7990129435927931,4.617816091954023,0.9798850574712644,0.9540229885057471,0.8001775495363429,9.762931034482758,0.9712643678160919,0.9209770114942529,0.7671629906654064,0.033028939751728104,0.01936119582789607
half,1.1408045977011494,0.9956896551724138,0.9353448275862069,0.7803447102230178,2.413793103448276,0.9971264367816092,0.9482758620689655,0.719565589116768,5.850574712643678,0.9942528735632183,0.9281609195402298,0.6906634430575895,0.0020876156332627,0.011948395470936901
full,0.36063218390804597,1.0,0.9755747126436781,0.8469533174061644,0.7629310344827587,0.9942528735632183,0.9770114942528736,0.8028643366675018,2.0761494252873565,0.9899425287356322,0.9698275862068966,0.7662527570931161,0.002317505267828814,0.005852602710003288
