agent,motion_blur,defocus_blur,glass_blur,gaussian_blur,gaussian_noise,impulse_noise,shot_noise,speckle_noise,brightness,contrast,saturate,jpeg_compression,snow,spatter,fog,frost
fm_orb_40,53.666666666666664,50.35,18.683333333333334,48.5,5.333333333333333,15.916666666666666,12.733333333333333,13.583333333333334,4.9,59.2,4.8,4.5,31.483333333333334,23.383333333333333,67.78333333333333,52.2
fm_sift_40,87.06666666666666,86.35,86.25,84.35,89.35,88.3,87.65,92.1,67.45,84.58333333333333,47.0,61.1,90.76666666666667,81.0,97.18333333333334,99.51666666666667
ppo_inverse2_full,2.2,0.18333333333333332,1.8666666666666667,0.13333333333333333,2.716666666666667,6.183333333333334,1.5666666666666667,0.5,101.1,114.01666666666667,79.08333333333333,0.05,115.16666666666667,0.35,102.0,98.58333333333333
ppo_inverse2_finetuned,8.483333333333333,4.716666666666667,10.016666666666667,8.216666666666667,4.233333333333333,7.616666666666666,7.6,4.633333333333334,41.71666666666667,87.51666666666667,26.916666666666668,2.9166666666666665,63.18333333333333,1.8166666666666667,83.65,56.85
